aoi,acquisition_date,merra2_duexttau_550,cams_total_aod_550,merra2_n_images_used,cams_n_images_used,merra2_window_min_utc,merra2_window_max_utc,cams_window_min_utc,cams_window_max_utc
qiddiya_core,2025-09-01,0.232968,0.900151,2,20,2025-09-01T07:00,2025-09-01T08:00,2025-09-01T06:00,2025-09-01T09:00
qiddiya_core,2025-10-11,0.213719,0.455433,2,20,2025-10-11T07:00,2025-10-11T08:00,2025-10-11T06:00,2025-10-11T09:00
qiddiya_core,2025-11-25,0.098969,0.162827,2,20,2025-11-25T07:00,2025-11-25T08:00,2025-11-25T06:00,2025-11-25T09:00
qiddiya_core,2025-12-30,0.083849,0.219370,2,20,2025-12-30T07:00,2025-12-30T08:00,2025-12-30T06:00,2025-12-30T09:00
qiddiya_core,2026-01-29,0.179149,0.449022,2,20,2026-01-29T07:00,2026-01-29T08:00,2026-01-29T06:00,2026-01-29T09:00
qiddiya_core,2026-02-13,0.161869,0.334605,2,20,2026-02-13T07:00,2026-02-13T08:00,2026-02-13T06:00,2026-02-13T09:00
qiddiya_core,2026-03-25,0.300552,0.485264,2,20,2026-03-25T07:00,2026-03-25T08:00,2026-03-25T06:00,2026-03-25T09:00
qiddiya_core,2026-04-14,,0.383157,0,20,,,2026-04-14T06:00,2026-04-14T09:00
diriyah_gate,2020-01-31,0.091253,0.291663,2,20,2020-01-31T07:00,2020-01-31T08:00,2020-01-31T06:00,2020-01-31T09:00
diriyah_gate,2020-02-15,0.078516,0.105475,2,20,2020-02-15T07:00,2020-02-15T08:00,2020-02-15T06:00,2020-02-15T09:00
diriyah_gate,2020-03-01,0.426127,0.539031,2,20,2020-03-01T07:00,2020-03-01T08:00,2020-03-01T06:00,2020-03-01T09:00
diriyah_gate,2020-04-25,0.175520,0.396985,2,20,2020-04-25T07:00,2020-04-25T08:00,2020-04-25T06:00,2020-04-25T09:00
diriyah_gate,2020-05-30,0.359564,0.495133,2,20,2020-05-30T07:00,2020-05-30T08:00,2020-05-30T06:00,2020-05-30T09:00
