date,roi_name,mean_ndvi,median_ndvi,valid_pixel_count,ndvi_climatology,ndvi_anomaly
2025-04-15,king_salman_park,0.060612,0.057616,94335,0.067030,-0.006418
2025-04-15,northern_expansion,0.066416,0.054594,141932,0.071863,-0.005447
2025-04-15,central_urban,0.069939,0.059517,84057,0.077540,-0.007601
2025-05-15,wadi_hanifa,0.082011,0.059240,299330,0.094373,-0.012362
2025-05-15,king_salman_park,0.058884,0.053881,94335,0.065532,-0.006648
2025-05-15,northern_expansion,0.066026,0.052335,141932,0.071942,-0.005916
2025-05-15,central_urban,0.069397,0.057782,84057,0.079651,-0.010254
2025-06-15,wadi_hanifa,0.096353,0.067961,299330,0.094973,0.001380
2025-06-15,king_salman_park,0.069474,0.064348,94335,0.066923,0.002551
2025-06-15,northern_expansion,0.076033,0.061340,141932,0.073036,0.002997
2025-06-15,central_urban,0.076835,0.063709,84057,0.079200,-0.002365
2025-07-15,wadi_hanifa,0.083192,0.058441,299330,0.085732,-0.002540
2025-07-15,king_salman_park,0.057969,0.053393,94335,0.059921,-0.001952
2025-07-15,northern_expansion,0.063146,0.050299,141932,0.065528,-0.002382
2025-07-15,central_urban,0.065809,0.054651,84057,0.097055,-0.031246
2025-08-15,wadi_hanifa,0.077466,0.056297,299330,0.082803,-0.005337
2025-08-15,king_salman_park,0.054079,0.050985,94335,0.055552,-0.001473
2025-08-15,northern_expansion,0.057340,0.047291,141932,0.061313,-0.003973
2025-08-15,central_urban,0.059754,0.050368,84057,0.067635,-0.007881
2025-09-15,wadi_hanifa,0.077974,0.054372,299330,0.087138,-0.009164
2025-09-15,king_salman_park,0.051597,0.048142,94335,0.059884,-0.008287
2025-09-15,northern_expansion,0.057299,0.045883,141932,0.065290,-0.007991
2025-09-15,central_urban,0.060442,0.050905,84057,0.070272,-0.009830
2025-10-15,wadi_hanifa,0.089745,0.060901,299329,0.091623,-0.001878
2025-10-15,king_salman_park,0.058024,0.052911,94332,0.061016,-0.002992
2025-10-15,northern_expansion,0.067784,0.054092,141931,0.068363,-0.000579
2025-10-15,central_urban,0.073454,0.060770,84057,0.075832,-0.002378
2025-11-15,wadi_hanifa,0.087046,0.065687,299330,0.094196,-0.007150
2025-11-15,king_salman_park,0.054738,0.052444,94335,0.061031,-0.006293
2025-11-15,northern_expansion,0.060524,0.051064,141932,0.069161,-0.008637
2025-11-15,central_urban,0.065585,0.060049,84057,0.076047,-0.010462
2025-12-15,wadi_hanifa,0.087988,0.066876,299329,0.096465,-0.008477
2025-12-15,king_salman_park,0.054147,0.053721,94335,0.063434,-0.009287
2025-12-15,northern_expansion,0.061075,0.053258,141932,0.070483,-0.009408
2025-12-15,central_urban,0.067452,0.064568,84057,0.076334,-0.008882
2026-01-15,wadi_hanifa,0.106627,0.073636,299118,0.103843,0.002784
2026-01-15,king_salman_park,0.063629,0.060135,94291,0.070463,-0.006834
2026-01-15,northern_expansion,0.074092,0.059888,141901,0.076417,-0.002325
2026-01-15,central_urban,0.082887,0.073524,84031,0.082096,0.000791
2026-02-15,wadi_hanifa,0.091690,0.066235,299326,0.100098,-0.008408
2026-02-15,king_salman_park,0.058162,0.055772,94331,0.069971,-0.011809
2026-02-15,northern_expansion,0.065745,0.055165,141931,0.074409,-0.008664
2026-02-15,central_urban,0.071319,0.065295,84056,0.078746,-0.007427
2026-03-15,wadi_hanifa,0.092428,0.060318,299330,0.096022,-0.003594
2026-03-15,king_salman_park,0.058983,0.051663,94333,0.065687,-0.006704
2026-03-15,northern_expansion,0.067202,0.051906,141932,0.071361,-0.004159
2026-03-15,central_urban,0.071390,0.058844,84057,0.076952,-0.005562
2026-04-15,wadi_hanifa,,,0,,
2026-04-15,king_salman_park,,,0,,
2026-04-15,northern_expansion,,,0,,
2026-04-15,central_urban,,,0,,
